task_id,n,density,nonlinearity,noise,hidden_fraction,intervention_strength,seed,parent_id,generation,complexity,train_mse,test_mse,graph_f1,solvability,novelty,learnability,interestingness
94,9,0.1269553153991525,0.15,0.001,0.06599306888763645,1.0219743769716947,939752,85,11,1.8491728239029719,0.0004377416287981009,0.002051479691143761,0.18181818181818182,0.45679694229330475,1.0020773157669656,0.9067969422933047,0.9926960236772661
95,9,0.4377770387453688,0.5242743740632361,0.008664946930682822,0.029692445570071932,1.2781218226822764,847150,84,11,5.270722039839864,0.0007576658941377945,0.0024090697495123456,0.7111111111111111,0.7890779709132071,1.003292797443019,0.760922029086793,0.9646183227360983
29,8,0.468514251596943,0.7229393045867415,0.001,0.0,0.9199145403269725,303032,20,3,5.118497331753748,0.00027541402082818556,0.005995876108341087,0.8292682926829268,0.8273056018627287,1.0205834302097987,0.7226943981372713,0.9263324132269958
89,9,0.12086643473804595,0.15,0.0054436798744344084,0.0,1.0179104068331886,267599,81,11,1.672607833436714,0.0005313846713985023,0.0018282895178824852,0.0,0.34240480596056727,1.002117103597216,0.7924048059605673,0.8604918319122533
3,6,0.27,0.6000000000000001,0.01,0.0,1.2,103,-1,0,2.9800000000000004,0.00030017760289215416,0.002565788364888348,0.7499999999999999,0.8121067551020409,1.0,0.7378932448979592,0.847839338387755
5,6,0.32999999999999996,0.7,0.01,0.0,1.2,105,-1,0,3.4899999999999993,0.00041746629358466024,0.004021723258283799,0.8181818181818181,0.8402716333453075,1.0,0.7097283666546925,0.8335759666359365
87,8,0.25572167340692187,0.2469392830291295,0.022039555774937495,0.1070169899392491,1.7443539266169443,154461,79,10,3.4274265223816505,0.0003166935712339766,0.0007843171388865437,0.4444444444444445,0.6329039993123423,0.7553085753464673,0.9170960006876577,0.8113977588094179
2,5,0.24,0.55,0.01,0.0,1.2,102,-1,0,2.485,0.0003599091659915561,0.007737239565459694,0.923076923076923,0.8657663857954137,1.0,0.6842336142045864,0.7692496407695062
9,7,0.3245348981506141,0.8267122991720728,0.0014594983943144804,0.013171355234984593,1.115054345086978,625095,5,1,3.8938524113691075,7.426215645738816e-05,0.00020779024055922834,0.8695652173913044,0.9129381552005411,1.0062114169210234,0.6370618447994589,0.7658205512932126
26,4,0.3835100244669881,0.5708791404469081,0.001,0.0,1.1822273633425433,119082,17,3,2.755027017541077,0.00037472384372529,0.0011187363181645576,0.8571428571428571,0.8950459941028209,1.0013821387211865,0.6549540058971791,0.7462047399238577
7,6,0.39,0.8,0.01,0.0,1.2,107,-1,0,4.0,5.3256776705872924e-05,0.0008728564687874909,0.923076923076923,0.9401013672679862,1.0,0.6098986327320138,0.7318783592784166
71,7,0.08,0.21098892592602259,0.00180860058021442,0.0,0.8954666454619913,247514,62,8,1.1632093883297756,0.00015848832548408454,0.00023129594305194493,0.0,0.3490299039376595,0.520326850834591,0.7990299039376594,0.4399373192668227
43,7,0.2001245246474258,0.3038609432797615,0.004351327054666447,0.03895501942985052,1.391612752645768,792661,35,5,2.415047732366644,0.0008822717804702765,0.002484348668951559,0.7000000000000001,0.7813553917491518,0.49822282818951824,0.7686446082508482,0.4291991766552554
81,8,0.08,0.18862312050610866,0.007843161697013967,0.0,0.9605095580529741,369536,72,10,1.2895191651451947,0.00031999975373377246,0.00046243104074693964,0.5,0.6712646821167976,0.4341549700403693,0.8787353178832025,0.4061053547202815
74,8,0.438901834462136,0.4048868861662378,0.001,0.09015060536583085,1.0293284099987237,97192,66,9,4.662720041360639,0.0006035868891628469,0.018183988464331575,0.7027027027027027,0.6485988005654479,0.34947498141650957,0.9014011994345521,0.38845901041658626
85,8,0.08,0.15,0.001,0.03955936925249022,0.9865426870022349,830047,72,10,1.269861229231896,0.0003341887355209436,0.0005309490572596852,0.0,0.34777710294986336,0.44516058089594496,0.7977771029498633,0.37768777575910945
68,6,0.6793948860873877,0.9179935425736935,0.0016699372084089934,0.020027125761485805,1.5268477132608544,266270,56,8,5.978181130850928,0.00016907388226716612,0.0010122998547644757,0.8947368421052632,0.9203309569218542,0.401151945298062,0.6296690430781459,0.3280952853434233
54,5,0.5017424447792533,0.6062267404186091,0.001,0.037970737537064474,1.6601754127453134,114713,45,6,4.021031802190436,0.00027958374750602005,0.0008117826947627013,0.888888888888889,0.9187838084579008,0.34613324729988054,0.6312161915420993,0.2624116487226453
84,8,0.3724458322119933,0.4914194421148175,0.00800413206765229,0.01758178680097433,1.2449296614315781,617541,74,10,4.214170506976604,0.0007122236384298874,0.0030694312254030665,0.6285714285714286,0.7311391450021115,0.25239547220066794,0.8188608549978885,0.25022533005033254
66,7,0.4363772097102012,0.4107371224856257,0.001,0.08253383232513786,0.94119846799032,441397,63,8,4.169440272909787,0.000567783944207237,0.0015380822913365418,0.6666666666666667,0.7690079680104894,0.26465290902253713,0.7809920319895106,0.24978127168908756
32,7,0.40115481074094006,0.6542754293754753,0.001,0.05583772954077933,0.8475130580360807,719470,29,4,4.1933450605125655,0.0005825808044432711,0.0033394616965142653,0.7272727272727273,0.7904095458004641,0.2561193277009821,0.759590454199536,0.2353356791886312
30,5,0.4233278308640942,0.7612757381473672,0.001,0.0,1.363228608409763,341603,17,3,3.6775213440644507,0.00020989774857589142,0.0038289688328513208,0.888888888888889,0.8861131174440691,0.29356967189659205,0.663886882555931,0.23073395814043918
93,8,0.12460223251918662,0.40600654494844046,0.008503040994594325,0.0,1.0765016415900373,509790,81,11,2.013808579999108,0.0004080125249902802,0.0012212610664215993,0.6,0.7292342809328531,0.2503987045731806,0.8207657190671469,0.22621243614547956
38,6,0.4662037498916954,0.5968710371382513,0.003117629257528287,0.023842657747540914,1.4157796932448852,582542,30,4,4.20804589997515,0.0002313633647951311,0.0006340839388415485,0.8333333333333333,0.88490771558522,0.2763399352932171,0.6650922844147801,0.22246172462036476
16,7,0.3896047842008934,1.0669746089695538,0.0012183671634298364,0.0,1.0070525426281336,55531,9,2,4.641994837283323,0.00017365469051773167,0.000821397091170537,0.8571428571428571,0.8982452857661938,0.27165787243732326,0.6517547142338063,0.2181485561181766
56,5,0.5804576358058549,0.8800824397372843,0.001,0.05703641159041377,1.5479895041507161,444758,54,7,4.83939971885645,0.00033413099738430517,0.0012125592102350167,0.9600000000000001,0.9599302188477933,0.2760336008275475,0.5900697811522068,0.20229093668504736
57,6,0.17070982534209234,0.32168937161481875,0.013802115425441325,0.07786148477714555,1.6557662094449166,35680,52,7,2.3361977385055344,0.000188803813875346,0.0004786325010208342,0.33333333333333337,0.5634212946246945,0.18309937022590636,0.9865787053753056,0.20174270417494444
44,6,0.4382228308632183,0.6381687578940487,0.001,0.0632030230632773,0.8152697146889447,700274,32,5,3.999178594085259,5.5747574629062513e-05,0.0001914882247762111,0.9166666666666666,0.9436624371436907,0.2690967640182372,0.6063375628563094,0.19578947010858924
52,6,0.19501099449999648,0.2896215703186219,0.012322166108241758,0.09422852807294119,1.4778999160712643,857449,43,6,2.4066612785640613,0.00029415265218901064,0.00040335067850504465,0.7499999999999999,0.8334561201858937,0.24260013449162532,0.7165438798141064,0.19475157632102874
48,6,0.1783772293944241,0.18805100226439259,0.001,0.0014567354558799456,1.129980961414341,466230,43,6,1.7049760068271356,0.00038272563009202233,0.02568408046548818,0.0,0.25716661671525987,0.25006179054925737,0.7071666167152598,0.1919103518713805
20,7,0.40986739907033803,0.6479432584887055,0.001,0.013009200809457697,1.0997962750069616,912623,9,2,4.213448565751157,0.00023613033533069055,0.019576062362782077,0.9285714285714286,0.7539315533671674,0.198678261909714,0.7960684466328326,0.19148176162266212
65,7,0.16022243286103524,0.42524069370156814,0.013328930898349372,0.027443233312276383,1.5787488612924951,629226,57,8,2.434940121231532,0.0002134784370873469,0.0002371409015403689,0.8,0.8675277682598358,0.22706444567835837,0.6824722317401642,0.17383172557689733
63,6,0.4086163951156528,0.3343407510077241,0.0018491507787492217,0.12429929042151482,0.9915050151907049,917167,53,7,3.579900735603993,0.0003155054316774712,0.0005675439247716887,0.8235294117647058,0.8792852829612738,0.21310479485187392,0.6707147170387262,0.16851673424312824
72,7,0.08,0.20446769063031314,0.006607531732171436,0.01460452365297279,1.0578585696054819,993251,71,9,1.2866457332812606,0.00013818424535684177,0.0007102509961562898,0.4,0.6048230556260075,0.16324823241964573,0.9451769443739926,0.16422483860676756
45,6,0.490279880754705,0.4513777425279174,0.003948071079655519,0.051601193079549704,1.5523268934784273,622179,38,5,4.252927659859063,8.926642104498399e-05,0.00016973259491895163,0.9473684210526316,0.9638243641802147,0.20288992745555298,0.5861756358197854,0.1442189820283976
46,4,0.4695855200804194,0.5046778654992776,0.001370182415450788,0.00575500297344602,1.3345039397841663,341025,33,5,3.0637993920939666,0.0003322701839397039,0.0006794598716305378,0.8333333333333333,0.8844260045893144,0.187117643681231,0.6655739954106856,0.14361901422312862
